Order_ID,Customer_Name,Product,Manufacturing_Plant,Export_Country,Import_Country,Shipping_Mode,Order_Date,Ship_Date,Quantity,Unit_Price,Cost,Revenue,Profit
1,Customer_145,Pharma Drugs,Plant C,Vietnam,Australia,Air,2024-05-19,2024-06-10,57,54.07,2317.84,3081.71,763.87
2,Customer_452,Textiles,Plant C,Vietnam,UAE,Sea,2023-12-23,2024-01-13,103,487.17,40843.32,50178.59,9335.27
3,Customer_52,Textiles,Plant B,China,UK,Sea,2024-05-24,2024-06-20,389,280.17,79293.46,108984.81,29691.35
4,Customer_308,Pharma Drugs,Plant B,India,UK,Road,2024-05-19,2024-05-28,145,413.03,49545.78,59888.69,10342.91
5,Customer_87,Electronics,Plant A,USA,USA,Air,2023-01-13,2023-02-06,378,235.2,53765.23,88907.11,35141.88
6,Customer_192,Auto Parts,Plant C,Germany,Australia,Air,2023-05-31,2023-06-04,10,58.49,357.25,584.92,227.67
7,Customer_90,Electronics,Plant A,USA,UAE,Sea,2023-01-22,2023-02-19,492,420.17,159881.18,206725.53,46844.35
8,Customer_327,Textiles,Plant C,India,Australia,Air,2023-04-10,2023-04-20,226,209.63,40163.49,47375.98,7212.49
9,Customer_158,Textiles,Plant C,China,UK,Road,2023-05-02,2023-05-21,374,227.96,57255.54,85256.46,28000.92
10,Customer_206,Auto Parts,Plant B,China,Australia,Road,2024-01-21,2024-02-18,38,105.75,2980.99,4018.65,1037.67
11,Customer_296,Pharma Drugs,Plant B,India,UK,Road,2023-04-09,2023-04-20,449,374.51,128190.77,168153.36,39962.59
12,Customer_384,Textiles,Plant B,China,USA,Sea,2023-06-17,2023-06-25,240,201.58,38837.64,48378.34,9540.69
13,Customer_159,Electronics,Plant C,USA,UK,Sea,2024-01-27,2024-02-22,276,249.67,56807.85,68909.4,12101.55
14,Customer_245,Steel Sheets,Plant B,Vietnam,France,Road,2024-06-05,2024-06-25,438,330.7,88122.75,144847.88,56725.13
15,Customer_66,Auto Parts,Plant B,China,Australia,Road,2023-05-16,2023-05-31,450,457.6,161426.09,205920.72,44494.63
16,Customer_481,Textiles,Plant A,Germany,France,Road,2024-01-20,2024-02-09,330,281.66,71980.8,92948.63,20967.83
17,Customer_272,Pharma Drugs,Plant B,Vietnam,UAE,Road,2024-01-12,2024-02-02,112,247.32,16661.18,27700.34,11039.15
18,Customer_304,Electronics,Plant B,Germany,UAE,Road,2024-03-30,2024-04-23,389,94.3,26627.25,36681.53,10054.28
19,Customer_296,Textiles,Plant B,China,USA,Road,2024-01-02,2024-01-09,419,24.75,7930.36,10368.21,2437.85
20,Customer_418,Auto Parts,Plant C,Vietnam,Australia,Sea,2024-05-05,2024-05-31,397,360.21,97056.09,143001.59,45945.5
21,Customer_261,Pharma Drugs,Plant A,China,France,Air,2023-06-30,2023-07-06,429,432.38,121986.01,185491.89,63505.89
22,Customer_431,Pharma Drugs,Plant C,Vietnam,USA,Road,2023-11-08,2023-12-08,189,355.67,53221.09,67221.28,14000.19
23,Customer_422,Steel Sheets,Plant A,USA,France,Air,2024-06-02,2024-07-02,461,406.2,138040.51,187258.25,49217.74
24,Customer_287,Auto Parts,Plant C,India,USA,Air,2024-04-11,2024-04-21,376,454.68,144348.49,170958.57,26610.08
25,Customer_195,Electronics,Plant C,Germany,UK,Sea,2023-08-05,2023-08-22,30,344.55,6491.24,10336.53,3845.29
26,Customer_233,Electronics,Plant A,Germany,UAE,Sea,2023-08-16,2023-08-23,57,384.16,13567.11,21897.22,8330.11
27,Customer_321,Auto Parts,Plant C,China,Australia,Air,2023-11-22,2023-12-21,135,305.73,32014.32,41273.91,9259.59
28,Customer_423,Textiles,Plant C,USA,UAE,Sea,2023-12-24,2024-01-13,473,107.26,37939.21,50736.3,12797.09
29,Customer_493,Steel Sheets,Plant A,India,UAE,Road,2023-09-26,2023-10-04,268,391.41,73110.6,104897.47,31786.87
30,Customer_412,Pharma Drugs,Plant A,India,France,Air,2023-03-31,2023-04-18,156,256.61,31151.52,40031.04,8879.52
31,Customer_93,Electronics,Plant C,China,UK,Sea,2023-08-12,2023-09-03,378,324.49,82551.45,122658.11,40106.66
32,Customer_493,Electronics,Plant B,USA,UK,Road,2024-04-02,2024-05-01,60,484.74,24124.78,29084.57,4959.79
33,Customer_225,Textiles,Plant C,Vietnam,UK,Road,2023-11-28,2023-12-14,132,394.29,32785.03,52045.84,19260.81
34,Customer_169,Steel Sheets,Plant B,USA,Australia,Sea,2023-05-06,2023-05-28,167,116.57,15164.65,19466.4,4301.75
35,Customer_458,Textiles,Plant A,India,UAE,Air,2023-05-06,2023-05-21,179,442.64,51748.66,79233.15,27484.48
36,Customer_89,Electronics,Plant B,China,UAE,Road,2024-05-21,2024-06-11,381,25.3,6586.09,9639.05,3052.96
37,Customer_258,Electronics,Plant B,Germany,Australia,Air,2023-08-02,2023-08-28,349,411.46,88863.6,143598.46,54734.86
38,Customer_283,Textiles,Plant C,India,France,Sea,2024-06-23,2024-07-19,111,41.61,3254.01,4618.28,1364.27
39,Customer_9,Steel Sheets,Plant A,Vietnam,USA,Road,2023-09-29,2023-10-08,116,442.51,34137.82,51331.53,17193.7
40,Customer_250,Auto Parts,Plant A,USA,France,Air,2024-05-05,2024-05-30,137,62.39,6170.74,8546.79,2376.06
41,Customer_7,Auto Parts,Plant A,India,Australia,Air,2024-04-13,2024-05-02,205,70.31,9650.81,14412.76,4761.95
42,Customer_207,Steel Sheets,Plant C,USA,USA,Air,2024-03-07,2024-03-29,192,338.92,54044.04,65072.32,11028.28
43,Customer_44,Pharma Drugs,Plant A,Germany,USA,Road,2023-10-09,2023-11-04,76,271.33,16461.78,20621.07,4159.29
44,Customer_386,Steel Sheets,Plant A,Germany,Australia,Sea,2023-08-10,2023-09-05,394,355.5,98167.99,140068.34,41900.34
45,Customer_482,Auto Parts,Plant A,USA,France,Sea,2023-04-11,2023-05-08,469,392.44,148135.9,184055.77,35919.87
46,Customer_105,Steel Sheets,Plant B,Germany,UAE,Road,2023-10-18,2023-11-15,51,351.19,11324.99,17910.87,6585.89
47,Customer_138,Auto Parts,Plant A,Germany,USA,Road,2023-12-01,2023-12-31,444,429.94,122272.47,190893.78,68621.31
48,Customer_418,Textiles,Plant B,China,Australia,Sea,2023-07-04,2023-07-23,416,498.46,141831.73,207360.06,65528.33
49,Customer_341,Electronics,Plant C,Germany,USA,Sea,2024-02-05,2024-02-22,34,225.25,4737.1,7658.64,2921.54
50,Customer_326,Auto Parts,Plant C,India,USA,Road,2023-05-21,2023-06-01,98,24.53,1783.58,2403.61,620.03
51,Customer_364,Steel Sheets,Plant C,India,Australia,Road,2023-03-29,2023-04-18,438,490.1,159546.27,214665.72,55119.45
52,Customer_235,Steel Sheets,Plant C,India,UK,Air,2024-01-28,2024-02-03,338,43.5,11626.31,14704.31,3078.0
53,Customer_92,Electronics,Plant B,India,UK,Sea,2024-02-27,2024-03-02,284,333.23,64910.9,94637.92,29727.02
54,Customer_412,Auto Parts,Plant A,China,USA,Sea,2023-08-17,2023-09-01,488,396.01,138860.99,193254.87,54393.89
55,Customer_61,Auto Parts,Plant C,China,Australia,Sea,2024-04-03,2024-04-12,373,254.36,60972.3,94877.59,33905.3
56,Customer_395,Pharma Drugs,Plant B,Vietnam,UK,Sea,2024-06-20,2024-07-16,25,106.42,1881.74,2660.51,778.77
57,Customer_424,Textiles,Plant A,India,Australia,Road,2024-06-23,2024-07-23,142,215.43,21559.91,30591.43,9031.53
58,Customer_437,Steel Sheets,Plant C,Germany,Australia,Sea,2023-03-14,2023-04-05,374,73.37,21419.57,27440.86,6021.28
59,Customer_72,Textiles,Plant A,USA,Australia,Sea,2023-06-14,2023-07-11,122,423.0,32017.49,51606.39,19588.89
60,Customer_418,Electronics,Plant B,USA,Australia,Road,2023-08-05,2023-08-24,142,424.8,49354.12,60322.27,10968.15
61,Customer_232,Steel Sheets,Plant C,Vietnam,UAE,Sea,2023-04-14,2023-05-09,159,95.56,10170.59,15194.82,5024.23
62,Customer_53,Electronics,Plant C,Germany,UK,Air,2023-06-22,2023-07-10,302,490.48,93699.09,148123.89,54424.8
